Айді громади,Назва громади,[41031200] На забезпечення нагальних потреб функціонування держави в умовах воєнного стану,[41034700] На ліквідацію наслідків збройної агресії,[41036100] На житло для сімей ветеранів війни та інвалідів внаслідок війни,[41037800] На розвиток ветеранських просторів,[41035800] На діяльність фахівців із супроводу ветеранів війни,[41033900] Освітня субвенція (зарплати),[41032800] Облаштування безпечних умов (укриттів) у школах,[41033800] Майстерні профтехів,[41033000] Підтримка окремих закладів у системі охорони здоров'я,"[41037500] Інвестиційні проекти у сфері охорони здоров'я (реабілітації, ремонти)",Сума Війна та відновлення,Сума Освіта,Сума Охорона здоров'я
1352900000,Щирецька,0.0,0.0,0.0,0.0,0.0,32831200.0,0.0,0.0,0.0,0.0,0.0,32831200.0,0.0
1358800000,Яворівська,0.0,0.0,0.0,0.0,0.0,196799200.0,0.0,0.0,0.0,0.0,0.0,196799200.0,0.0
1454500000,Єланецька,0.0,0.0,0.0,0.0,0.0,52953300.0,0.0,0.0,0.0,0.0,0.0,52953300.0,0.0
1454600000,Інгульська,0.0,0.0,0.0,0.0,0.0,28309500.0,0.0,0.0,0.0,0.0,0.0,28309500.0,0.0
1452800000,Арбузинська,0.0,0.0,0.0,0.0,0.0,36778100.0,1802604.0,0.0,0.0,0.0,0.0,38580704.0,0.0
1450200000,Баштанська,0.0,0.0,0.0,0.0,0.0,67682291.0,0.0,0.0,0.0,0.0,0.0,67682291.0,0.0
1452200000,Березанська,0.0,0.0,0.0,0.0,0.0,44293800.0,0.0,0.0,0.0,0.0,0.0,44293800.0,0.0
1453000000,Березнегуватська,0.0,0.0,0.0,0.0,0.0,56561600.0,0.0,0.0,0.0,0.0,0.0,56561600.0,0.0
1451000000,Благодатненська,0.0,0.0,0.0,0.0,0.0,22861200.0,0.0,0.0,0.0,0.0,0.0,22861200.0,0.0
1454300000,Братська,0.0,0.0,0.0,0.0,0.0,39136200.0,0.0,0.0,0.0,0.0,0.0,39136200.0,0.0
1451100000,Бузька,0.0,0.0,0.0,0.0,0.0,17478400.0,0.0,0.0,0.0,0.0,0.0,17478400.0,0.0
1450400000,Веселинівська,0.0,0.0,0.0,0.0,0.0,66379600.0,0.0,0.0,0.0,0.0,0.0,66379600.0,0.0
1450800000,Веснянська,0.0,0.0,0.0,0.0,0.0,34766400.0,0.0,0.0,0.0,0.0,0.0,34766400.0,0.0
1452900000,Вознесенська,0.0,0.0,0.0,0.0,0.0,100073200.0,0.0,0.0,0.0,0.0,0.0,100073200.0,0.0
1452400000,Володимирівська,0.0,0.0,0.0,0.0,0.0,7421500.0,0.0,0.0,0.0,0.0,0.0,7421500.0,0.0
1450500000,Воскресенська,0.0,0.0,0.0,0.0,0.0,43591000.0,0.0,0.0,0.0,0.0,0.0,43591000.0,0.0
1454400000,Врадіївська,0.0,0.0,0.0,0.0,0.0,55571400.0,13669917.0,0.0,0.0,0.0,0.0,69241317.0,0.0
1453400000,Вільнозапорізька,0.0,0.0,0.0,0.0,0.0,18282500.0,0.0,0.0,0.0,0.0,0.0,18282500.0,0.0
