Айді громади,Назва громади,[41010100] Реверсна дотація,[41020100] Базова дотація,[41020200] На здійснення переданих з державного бюджету видатків з утримання закладів освіти та охорони здоров'я,"[41020300] На функціонування територій, на яких ведуться бойові дії",[41020400] Додаткові дотації з державного бюджету місцевим бюджетам (загальна),[41020600] [Назву стерто] Додаткова дотація (виключена наприкінці 2024 року),[41020800] Бюджету Славутицької міської територіальної громади на утримання соціальної інфраструктури,[41021000] На компенсацію втрат доходів внаслідок пільг суб’єктам космічної діяльності,[41021100] [Назву стерто] Додаткова дотація (виключена наприкінці 2023 року),[41021200] Обласним бюджетам Донецької та Луганської областей на усунення наслідків ескалації,"[41021300] На компенсацію комунальним закладам, переданим на фінансування з місцевих бюджетів",[41021400] На здійснення повноважень органів самоврядування на деокупованих та інших територіях,Сума Базова,Сума Реверсна,Сума Додаткові
0852100000,Гуляйпільська,0.0,5176900.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,5176900.0,0.0,0.0
0856000000,Дніпрорудненська,0.0,19295800.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,19295800.0,0.0,0.0
0854200000,Долинська,0.0,5071000.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,5071000.0,0.0,0.0
0856100000,Енергодарська,224370300.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,224370300.0,0.0
0856200000,Запорізька,492955000.0,0.0,0,0.0,0.0,0.0,0,11627400.0,0.0,0.0,0.0,0.0,0.0,492955000.0,11627400.0
0851700000,Кам'янсько-Дніпровська,0.0,17897400.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,17897400.0,0.0,0.0
0853200000,Кирилівська,0.0,5691200.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,5691200.0,0.0,0.0
0854100000,Коларівська,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0850300000,Комиш-Зорянська,0.0,2336100.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2336100.0,0.0,0.0
0850900000,Комишуваська,0.0,18949600.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,18949600.0,0.0,0.0
0856500000,Кушугумська,0.0,29788200.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,29788200.0,0.0,0.0
0855100000,Малинівська,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0856600000,Малобілозерська,57503200.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,57503200.0,0.0
0851300000,Малотокмачанська,0.0,1119200.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1119200.0,0.0,0.0
0856700000,Матвіївська,0.0,2163200.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2163200.0,0.0,0.0
