Айді громади,Назва громади,[41031200] На забезпечення нагальних потреб функціонування держави в умовах воєнного стану,[41034700] На ліквідацію наслідків збройної агресії,[41036100] На житло для сімей ветеранів війни та інвалідів внаслідок війни,"[41036800] Проект ""Ремонт житла для відновлення (HOPE)""",[41033900] Освітня субвенція (зарплати),"[41036000] ""Нова українська школа""",[41032800] Облаштування безпечних умов (укриттів) у школах,[41031900] Шкільні автобуси,[41033300] Забезпечення харчуванням учнів,[41033000] Підтримка окремих закладів у системі охорони здоров'я,"[41037500] Інвестиційні проекти у сфері охорони здоров'я (реабілітації, ремонти)",[41036500] Облаштування безпечних умов (укриттів) у закладах охорони здоров'я,Сума Війна та відновлення,Сума Освіта,Сума Охорона здоров'я
0754800000,Пилипецька,0.0,0.0,0.0,0.0,32845600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32845600.0,0.0
0750300000,Полянська,0.0,0.0,0.0,0.0,45626400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45626400.0,0.0
0754900000,Рахівська,0.0,0.0,0.0,0.0,111093500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111093500.0,0.0
0755000000,Свалявська,0.0,0.0,0.0,0.0,93612500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93612500.0,0.0
0755100000,Середнянська,0.0,0.0,0.0,0.0,59387500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59387500.0,0.0
0755200000,Синевирська,0.0,0.0,0.0,0.0,38000800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38000800.0,0.0
0754000000,Солотвинська,0.0,0.0,0.0,0.0,28095300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28095300.0,0.0
0755400000,Ставненська,0.0,0.0,0.0,0.0,30816500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30816500.0,0.0
0755500000,Сюртівська,0.0,0.0,0.0,0.0,26286900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26286900.0,0.0
0755600000,Тересвянська,0.0,0.0,0.0,0.0,53165200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53165200.0,0.0
0755700000,Тур'є-Реметівська,0.0,0.0,0.0,0.0,83130300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83130300.0,0.0
0750200000,Тячівська,0.0,0.0,0.0,0.0,82930300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82930300.0,0.0
0755800000,Углянська,0.0,0.0,0.0,0.0,51179800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51179800.0,0.0
0755900000,Ужгородська,0.0,0.0,0.0,0.0,301956100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,301956100.0,0.0
0756000000,Усть-Чорнянська,0.0,0.0,0.0,0.0,50962100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50962100.0,0.0
0751600000,Холмківська,0.0,0.0,0.0,0.0,40019900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40019900.0,0.0
0756100000,Хустська,0.0,0.0,0.0,0.0,304267600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,304267600.0,0.0
0756200000,Чинадіївська,0.0,0.0,0.0,0.0,46473600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46473600.0,0.0
0756300000,Чопська,0.0,0.0,0.0,0.0,41017100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41017100.0,0.0
0756400000,Ясінянська,0.0,0.0,0.0,0.0,106104600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106104600.0,0.0
0854900000,Андрівська,0.0,0.0,0.0,0.0,14797900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14797900.0,0.0
0855700000,Андріївська,0.0,0.0,0.0,0.0,25261800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25261800.0,0.0
0854400000,Бердянська,0.0,0.0,0.0,0.0,202535100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,202535100.0,0.0
0850100000,Берестівська,0.0,0.0,0.0,0.0,14899900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14899900.0,0.0
0853500000,Благовіщенська,0.0,0.0,0.0,0.0,17208600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17208600.0,0.0
0851000000,Біленьківська,0.0,0.0,0.0,0.0,31726000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31726000.0,0.0
0855800000,Василівська,0.0,0.0,0.0,0.0,55956800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55956800.0,0.0
0851900000,Великобілозерська,0.0,0.0,0.0,0.0,29608900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29608900.0,0.0
0850200000,Веселівська,0.0,0.0,0.0,0.0,44446000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44446000.0,0.0
0852400000,Водянська,0.0,0.0,0.0,0.0,39262000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39262000.0,0.0
0852900000,Воздвижівська,0.0,0.0,0.0,0.0,13044600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13044600.0,0.0
0850600000,Воскресенська,0.0,0.0,0.0,0.0,17887500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17887500.0,0.0
0855900000,Вільнянська,0.0,0.0,0.0,0.0,50870500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50870500.0,0.0
0852700000,Гаврилівська,0.0,0.0,0.0,0.0,13186600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13186600.0,0.0
0852100000,Гуляйпільська,0.0,0.0,0.0,0.0,57026300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57026300.0,0.0
0856000000,Дніпрорудненська,0.0,0.0,0.0,0.0,48792300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48792300.0,0.0
0854200000,Долинська,0.0,0.0,0.0,0.0,26159800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26159800.0,0.0
