Айді громади,Назва громади,[41031200] На забезпечення нагальних потреб функціонування держави в умовах воєнного стану,[41034700] На ліквідацію наслідків збройної агресії,[41036100] На житло для сімей ветеранів війни та інвалідів внаслідок війни,[41037800] На розвиток ветеранських просторів,[41035800] На діяльність фахівців із супроводу ветеранів війни,[41038800] Програма відновлення України III,[41033900] Освітня субвенція (зарплати),"[41036000] ""Нова українська школа""",[41032800] Облаштування безпечних умов (укриттів) у школах,[41037900] Шкільні автобуси (разова програма за рахунок залишків),[41037400] Покращення якості гарячого харчування,[41031100] Забезпечення харчуванням учнів (нові коди),"[41038000] Для підтримки закладів освіти, які постраждали внаслідок агресії",[41033000] Підтримка окремих закладів у системі охорони здоров'я,"[41037500] Інвестиційні проекти у сфері охорони здоров'я (реабілітації, ремонти)",Сума Війна та відновлення,Сума Освіта,Сума Охорона здоров'я
2357300000,Смілянська,0.0,0.0,0.0,0.0,0,0.0,121058500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121058500.0,0.0
2350500000,Стеблівська,0.0,0.0,0.0,0.0,0,0.0,20977600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20977600.0,0.0
2351000000,Степанецька,0.0,0.0,0.0,0.0,0,0.0,24394200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24394200.0,0.0
2352100000,Степанківська,0.0,0.0,0.0,0.0,0,0.0,17714800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17714800.0,0.0
2350400000,Тальнівська,0.0,0.0,0.0,0.0,0,0.0,80312100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80312100.0,0.0
2354900000,Тернівська,0.0,0.0,0.0,0.0,0,0.0,12202100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12202100.0,0.0
2357400000,Уманська,0.0,0.0,0.0,0.0,0,0.0,160790700.0,0.0,0.0,0.0,488200.0,0.0,0.0,0.0,0.0,0.0,161278900.0,0.0
2357500000,Христинівська,0.0,0.0,0.0,0.0,0,0.0,91653100.0,0.0,0.0,0.0,211300.0,0.0,0.0,0.0,0.0,0.0,91864400.0,0.0
2357600000,Черкаська,0.0,0.0,0.0,0.0,0,0.0,540300100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,540300100.0,0.0
2355200000,Чигиринська,0.0,0.0,0.0,0.0,0,0.0,61884100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61884100.0,0.0
2357700000,Чорнобаївська,0.0,0.0,0.0,0.0,0,0.0,65055100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65055100.0,0.0
2355300000,Шевченківська,0.0,0.0,0.0,0.0,0,0.0,7840500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7840500.0,0.0
2350900000,Шполянська,0.0,0.0,0.0,0.0,0,0.0,97478900.0,0.0,0.0,0.0,79400.0,0.0,0.0,0.0,0.0,0.0,97558300.0,0.0
2357800000,Шрамківська,0.0,0.0,0.0,0.0,0,0.0,32628400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32628400.0,0.0
2551500000,Іванівська,0.0,0.0,0.0,0.0,0,0.0,21378800.0,0.0,0.0,0.0,73500.0,0.0,0.0,0.0,0.0,0.0,21452300.0,0.0
2552400000,Ічнянська,0.0,0.0,0.0,0.0,0,0.0,59095200.0,0.0,0.0,0.0,298400.0,0.0,0.0,0.0,0.0,0.0,59393600.0,0.0
2550600000,Батуринська,0.0,0.0,0.0,0.0,0,0.0,21368700.0,0.0,0.0,0.0,77100.0,0.0,0.0,0.0,0.0,0.0,21445800.0,0.0
2555100000,Бахмацька,0.0,0.0,0.0,0.0,0,0.0,78675400.0,0.0,24555464.0,0.0,182500.0,0.0,0.0,0.0,0.0,0.0,103413364.0,0.0
2555200000,Березнянська,0.0,0.0,0.0,0.0,0,0.0,18559900.0,0.0,0.0,0.0,97200.0,0.0,0.0,0.0,0.0,0.0,18657100.0,0.0
2552100000,Бобровицька,0.0,0.0,0.0,0.0,0,0.0,78442100.0,0.0,0.0,0.0,355900.0,0.0,0.0,0.0,0.0,0.0,78798000.0,0.0
2554000000,Борзнянська,0.0,0.0,0.0,0.0,0,0.0,32782400.0,0.0,0.0,0.0,165200.0,0.0,0.0,0.0,0.0,0.0,32947600.0,0.0
2553500000,Варвинська,0.0,0.0,0.0,0.0,0,0.0,46846300.0,0.0,0.0,0.0,214900.0,0.0,0.0,0.0,0.0,0.0,47061200.0,0.0
2550100000,Вертіївська,0.0,0.0,0.0,0.0,0,0.0,20819700.0,0.0,0.0,0.0,88500.0,0.0,0.0,0.0,0.0,0.0,20908200.0,0.0
2553400000,Височанська,0.0,0.0,0.0,0.0,0,0.0,12758900.0,0.0,0.0,0.0,20500.0,0.0,0.0,0.0,0.0,0.0,12779400.0,0.0
2551100000,Гончарівська,0.0,0.0,0.0,0.0,0,0.0,11904000.0,0.0,0.0,0.0,54800.0,0.0,0.0,0.0,0.0,0.0,11958800.0,0.0
2553600000,Городнянська,0.0,0.0,0.0,0.0,0,0.0,54603500.0,0.0,0.0,0.0,263300.0,0.0,0.0,0.0,0.0,0.0,54866800.0,0.0
2550200000,Деснянська,0.0,0.0,0.0,0.0,0,0.0,24138500.0,0.0,0.0,0.0,86700.0,0.0,0.0,0.0,0.0,0.0,24225200.0,0.0
2555300000,Дмитрівська,0.0,0.0,0.0,0.0,0,0.0,12227900.0,0.0,0.0,0.0,47000.0,0.0,0.0,0.0,0.0,0.0,12274900.0,0.0
2554600000,Добрянська,0.0,0.0,0.0,0.0,0,0.0,12727400.0,0.0,2740000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15467400.0,0.0
2554700000,Киселівська,0.0,0.0,0.0,0.0,0,0.0,14764800.0,0.0,0.0,0.0,59800.0,0.0,0.0,0.0,0.0,0.0,14824600.0,0.0
2554200000,Киїнська,0.0,0.0,0.0,0.0,0,0.0,18844100.0,0.0,0.0,0.0,99000.0,0.0,0.0,0.0,0.0,0.0,18943100.0,0.0
2551800000,Козелецька,0.0,0.0,0.0,0.0,0,0.0,56236100.0,0.0,0.0,0.0,311200.0,0.0,0.0,0.0,0.0,0.0,56547300.0,0.0
2551900000,Комарівська,0.0,0.0,0.0,0.0,0,0.0,13977500.0,0.0,0.0,0.0,33300.0,0.0,0.0,0.0,0.0,0.0,14010800.0,0.0
2551200000,Коропська,0.0,0.0,0.0,0.0,0,0.0,46829100.0,0.0,0.0,0.0,188900.0,0.0,0.0,0.0,0.0,0.0,47018000.0,0.0
2550700000,Корюківська,0.0,0.0,0.0,0.0,0,0.0,59394500.0,0.0,62038625.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121433125.0,0.0
2555400000,Крутівська,0.0,0.0,0.0,0.0,0,0.0,9728400.0,0.0,0.0,0.0,36900.0,0.0,0.0,0.0,0.0,0.0,9765300.0,0.0
2552500000,Куликівська,0.0,0.0,0.0,0.0,0,0.0,38279900.0,0.0,0.0,0.0,171100.0,0.0,0.0,0.0,0.0,0.0,38451000.0,0.0
2550300000,Кіптівська,0.0,0.0,0.0,0.0,0,0.0,17375300.0,0.0,0.0,0.0,66600.0,0.0,0.0,0.0,0.0,0.0,17441900.0,0.0
2555500000,Ладанська,0.0,0.0,0.0,0.0,0,0.0,15363400.0,0.0,0.0,0.0,84900.0,0.0,0.0,0.0,0.0,0.0,15448300.0,0.0
2553700000,Линовицька,0.0,0.0,0.0,0.0,0,0.0,12682600.0,0.0,0.0,0.0,70700.0,0.0,0.0,0.0,0.0,0.0,12753300.0,0.0
2551300000,Лосинівська,0.0,0.0,0.0,0.0,0,0.0,21183600.0,0.0,0.0,0.0,93100.0,0.0,0.0,0.0,0.0,0.0,21276700.0,0.0
2552700000,Любецька,0.0,0.0,0.0,0.0,0,0.0,12119500.0,0.0,0.0,0.0,40200.0,0.0,0.0,0.0,0.0,0.0,12159700.0,0.0
2550400000,Макіївська,0.0,0.0,0.0,0.0,0,0.0,12719100.0,0.0,0.0,0.0,52000.0,0.0,0.0,0.0,0.0,0.0,12771100.0,0.0
2552600000,Малодівицька,0.0,0.0,0.0,0.0,0,0.0,10735400.0,0.0,0.0,0.0,46500.0,0.0,0.0,0.0,0.0,0.0,10781900.0,0.0
2551700000,Менська,0.0,0.0,0.0,0.0,0,0.0,74917600.0,0.0,0.0,0.0,331700.0,0.0,0.0,0.0,0.0,0.0,75249300.0,0.0
2551400000,Михайло-Коцюбинська,0.0,0.0,0.0,0.0,0,0.0,33287600.0,0.0,0.0,0.0,97600.0,0.0,0.0,0.0,0.0,0.0,33385200.0,0.0
2551600000,Мринська,0.0,0.0,0.0,0.0,0,0.0,15248000.0,0.0,0.0,0.0,57500.0,0.0,0.0,0.0,0.0,0.0,15305500.0,0.0
2553900000,Новгород-Сіверська,0.0,0.0,0.0,0.0,0,0.0,54029500.0,0.0,0.0,0.0,96300.0,0.0,0.0,0.0,0.0,0.0,54125800.0,0.0
2552000000,Новобасанська,0.0,0.0,0.0,0.0,0,0.0,19367700.0,0.0,0.0,0.0,82100.0,0.0,0.0,0.0,0.0,0.0,19449800.0,0.0
2554100000,Новобілоуська,0.0,0.0,0.0,0.0,0,0.0,45336400.0,0.0,0.0,0.0,194800.0,0.0,0.0,0.0,0.0,0.0,45531200.0,0.0
2550800000,Носівська,0.0,0.0,0.0,0.0,0,0.0,59461600.0,0.0,0.0,0.0,350400.0,0.0,0.0,0.0,0.0,0.0,59812000.0,0.0
2553800000,Ніжинська,0.0,0.0,0.0,0.0,0,0.0,129273300.0,0.0,0.0,0.0,525700.0,0.0,0.0,0.0,0.0,0.0,129799000.0,0.0
2553300000,Олишівська,0.0,0.0,0.0,0.0,0,0.0,7322600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7322600.0,0.0
2550900000,Остерська,0.0,0.0,0.0,0.0,0,0.0,25484100.0,0.0,0.0,0.0,149200.0,0.0,0.0,0.0,0.0,0.0,25633300.0,0.0
