Айді громади,Назва громади,[41031200] На забезпечення нагальних потреб функціонування держави в умовах воєнного стану,[41034700] На ліквідацію наслідків збройної агресії,[41036100] На житло для сімей ветеранів війни та інвалідів внаслідок війни,[41033900] Освітня субвенція (зарплати),"[41036000] ""Нова українська школа""",[41032800] Облаштування безпечних умов (укриттів) у школах,[41033000] Підтримка окремих закладів у системі охорони здоров'я,"[41037500] Інвестиційні проекти у сфері охорони здоров'я (реабілітації, ремонти)",Сума Війна та відновлення,Сума Освіта,Сума Охорона здоров'я
2055100000,Сахновщинська,0.0,0.0,0.0,62454000.0,0.0,0.0,0.0,0.0,0.0,62454000.0,0.0
2055200000,Слобожанська,0.0,0.0,0.0,51481000.0,0.0,0.0,0.0,0.0,0.0,51481000.0,0.0
2055300000,Солоницівська,0.0,0.0,0.0,63529500.0,0.0,0.0,0.0,0.0,0.0,63529500.0,0.0
2051500000,Старовірівська,0.0,0.0,0.0,26041100.0,0.0,0.0,0.0,0.0,0.0,26041100.0,0.0
2050100000,Старосалтівська,0.0,0.0,0.0,15372300.0,0.0,0.0,0.0,0.0,0.0,15372300.0,0.0
2055400000,Харківська,0.0,1835819318.0,0.0,1661178800.0,0.0,0.0,0.0,0.0,1835819318.0,1661178800.0,0.0
2051600000,Циркунівська,0.0,0.0,0.0,12999500.0,0.0,0.0,0.0,0.0,0.0,12999500.0,0.0
2055500000,Чугуївська,0.0,0.0,0.0,63574100.0,0.0,0.0,0.0,0.0,0.0,63574100.0,0.0
2055600000,Шевченківська,0.0,0.0,0.0,42465200.0,0.0,0.0,0.0,0.0,0.0,42465200.0,0.0
2152200000,Іванівська,0.0,0.0,0.0,26672100.0,0.0,0.0,0.0,0.0,0.0,26672100.0,0.0
2150200000,Асканія-Нова,0.0,0.0,0.0,2076300.0,0.0,0.0,0.0,0.0,0.0,2076300.0,0.0
2153400000,Бериславська,0.0,0.0,0.0,27171600.0,0.0,0.0,0.0,0.0,0.0,27171600.0,0.0
2151900000,Бехтерська,0.0,0.0,0.0,5589500.0,0.0,0.0,0.0,0.0,0.0,5589500.0,0.0
2151700000,Борозенська,0.0,0.0,0.0,9238900.0,0.0,0.0,0.0,0.0,0.0,9238900.0,0.0
2151600000,Білозерська,0.0,0.0,0.0,41291800.0,0.0,0.0,0.0,0.0,0.0,41291800.0,0.0
2150700000,Великокопанівська,0.0,0.0,0.0,16584100.0,0.0,0.0,0.0,0.0,0.0,16584100.0,0.0
2153500000,Великолепетиська,0.0,0.0,0.0,1025800.0,0.0,0.0,0.0,0.0,0.0,1025800.0,0.0
2153600000,Великоолександрівська,0.0,0.0,0.0,58070600.0,0.0,0.0,0.0,0.0,0.0,58070600.0,0.0
2153700000,Верхньорогачицька,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2151300000,Виноградівська,0.0,0.0,0.0,12229600.0,0.0,0.0,0.0,0.0,0.0,12229600.0,0.0
2151800000,Високопільська,0.0,0.0,0.0,19459700.0,0.0,0.0,0.0,0.0,0.0,19459700.0,0.0
2153800000,Генічеська,0.0,0.0,0.0,14726300.0,0.0,0.0,0.0,0.0,0.0,14726300.0,0.0
2152900000,Голопристанська,0.0,0.0,0.0,51028200.0,0.0,0.0,0.0,0.0,0.0,51028200.0,0.0
2151400000,Горностаївська,0.0,0.0,0.0,4703900.0,0.0,0.0,0.0,0.0,0.0,4703900.0,0.0
2153900000,Дар'ївська,0.0,0.0,0.0,19238800.0,0.0,0.0,0.0,0.0,0.0,19238800.0,0.0
2152500000,Долматівська,0.0,0.0,0.0,13597600.0,0.0,0.0,0.0,0.0,0.0,13597600.0,0.0
2150600000,Зеленопідська,0.0,0.0,0.0,20685000.0,0.0,0.0,0.0,0.0,0.0,20685000.0,0.0
2150300000,Каланчацька,0.0,0.0,0.0,30954300.0,0.0,0.0,0.0,0.0,0.0,30954300.0,0.0
2154000000,Калинівська,0.0,0.0,0.0,1959800.0,0.0,0.0,0.0,0.0,0.0,1959800.0,0.0
2154100000,Каховська,0.0,0.0,0.0,48408600.0,0.0,0.0,0.0,0.0,0.0,48408600.0,0.0
2152100000,Костянтинівська,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2150100000,Кочубеївська,0.0,0.0,0.0,7728000.0,0.0,0.0,0.0,0.0,0.0,7728000.0,0.0
2154200000,Лазурненська,0.0,0.0,0.0,2756700.0,0.0,0.0,0.0,0.0,0.0,2756700.0,0.0
2152400000,Любимівська,0.0,0.0,0.0,13265400.0,0.0,0.0,0.0,0.0,0.0,13265400.0,0.0
2153000000,Милівська,0.0,0.0,0.0,10413900.0,0.0,0.0,0.0,0.0,0.0,10413900.0,0.0
2150400000,Мирненська,0.0,0.0,0.0,818000.0,0.0,0.0,0.0,0.0,0.0,818000.0,0.0
2151000000,Музиківська,0.0,0.0,0.0,12838500.0,0.0,0.0,0.0,0.0,0.0,12838500.0,0.0
2154300000,Нижньосірогозька,0.0,0.0,0.0,35164100.0,0.0,0.0,0.0,0.0,0.0,35164100.0,0.0
2154400000,Нововоронцовська,0.0,0.0,0.0,43462900.0,0.0,0.0,0.0,0.0,0.0,43462900.0,0.0
2152800000,Новокаховська,0.0,0.0,0.0,72044700.0,0.0,0.0,0.0,0.0,0.0,72044700.0,0.0
2154500000,Новомиколаївська,0.0,0.0,0.0,3342600.0,0.0,0.0,0.0,0.0,0.0,3342600.0,0.0
2154600000,Новоолександрівська,0.0,0.0,0.0,23669000.0,0.0,0.0,0.0,0.0,0.0,23669000.0,0.0
2152700000,Новорайська,0.0,0.0,0.0,11326000.0,0.0,0.0,0.0,0.0,0.0,11326000.0,0.0
2154700000,Новотроїцька,0.0,0.0,0.0,2828300.0,0.0,0.0,0.0,0.0,0.0,2828300.0,0.0
2154800000,Олешківська,0.0,0.0,0.0,70892900.0,0.0,0.0,0.0,0.0,0.0,70892900.0,0.0
2150900000,Присиваська,0.0,0.0,0.0,1498000.0,0.0,0.0,0.0,0.0,0.0,1498000.0,0.0
2154900000,Рубанівська,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2155000000,Скадовська,0.0,0.0,0.0,56843000.0,0.0,0.0,0.0,0.0,0.0,56843000.0,0.0
2151500000,Станіславська,0.0,0.0,0.0,17193400.0,0.0,0.0,0.0,0.0,0.0,17193400.0,0.0
2151100000,Тавричанська,0.0,0.0,0.0,13290700.0,0.0,0.0,0.0,0.0,0.0,13290700.0,0.0
2155100000,Таврійська,0.0,0.0,0.0,22776100.0,0.0,0.0,0.0,0.0,0.0,22776100.0,0.0
2155200000,Тягинська,0.0,0.0,0.0,22120000.0,0.0,0.0,0.0,0.0,0.0,22120000.0,0.0
2155310000,Херсонська,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2151200000,Хрестівська,0.0,0.0,0.0,1154200.0,0.0,0.0,0.0,0.0,0.0,1154200.0,0.0
2150500000,Чаплинська,0.0,0.0,0.0,2957700.0,0.0,0.0,0.0,0.0,0.0,2957700.0,0.0
2155400000,Чорнобаївська,0.0,0.0,0.0,18235200.0,0.0,0.0,0.0,0.0,0.0,18235200.0,0.0
2152000000,Чулаківська,0.0,0.0,0.0,7233500.0,0.0,0.0,0.0,0.0,0.0,7233500.0,0.0
2152300000,Ювілейна,0.0,0.0,0.0,8451100.0,0.0,0.0,0.0,0.0,0.0,8451100.0,0.0
2255700000,Ізяславська,0.0,0.0,0.0,65252700.0,0.0,0.0,0.0,0.0,0.0,65252700.0,0.0
2252900000,Антонінська,0.0,0.0,0.0,27365500.0,0.0,0.0,0.0,0.0,0.0,27365500.0,0.0
2250100000,Берездівська,0.0,0.0,0.0,24934200.0,0.0,0.0,0.0,0.0,0.0,24934200.0,0.0
2254000000,Білогірська,0.0,0.0,0.0,57461300.0,0.0,0.0,0.0,0.0,0.0,57461300.0,0.0
2253400000,Вовковинецька,0.0,0.0,0.0,17669000.0,0.0,0.0,0.0,0.0,0.0,17669000.0,0.0
2250300000,Волочиська,0.0,0.0,0.0,82893200.0,0.0,0.0,0.0,0.0,0.0,82893200.0,0.0
2250200000,Війтовецька,0.0,0.0,0.0,19606700.0,0.0,0.0,0.0,0.0,0.0,19606700.0,0.0
2255300000,Віньковецька,0.0,0.0,0.0,47258700.0,0.0,0.0,0.0,0.0,0.0,47258700.0,0.0
2250400000,Ганнопільська,0.0,0.0,0.0,20066800.0,0.0,0.0,0.0,0.0,0.0,20066800.0,0.0
2250500000,Гвардійська,0.0,0.0,0.0,16395100.0,0.0,0.0,0.0,0.0,0.0,16395100.0,0.0
2252700000,Городоцька,0.0,0.0,0.0,79867600.0,0.0,0.0,0.0,0.0,0.0,79867600.0,0.0
2253300000,Грицівська,0.0,0.0,0.0,16126100.0,0.0,0.0,0.0,0.0,0.0,16126100.0,0.0
2252400000,Гуківська,0.0,0.0,0.0,6875800.0,0.0,0.0,0.0,0.0,0.0,6875800.0,0.0
2250600000,Гуменецька,0.0,0.0,0.0,26962500.0,0.0,0.0,0.0,0.0,0.0,26962500.0,0.0
2255400000,Деражнянська,0.0,0.0,0.0,60120500.0,0.0,0.0,0.0,0.0,0.0,60120500.0,0.0
2250700000,Дунаєвецька,0.0,0.0,0.0,83983600.0,0.0,0.0,0.0,0.0,0.0,83983600.0,0.0
2253600000,Жванецька,0.0,0.0,0.0,16715200.0,0.0,0.0,0.0,0.0,0.0,16715200.0,0.0
2255500000,Закупненська,0.0,0.0,0.0,16550800.0,0.0,0.0,0.0,0.0,0.0,16550800.0,0.0
2254800000,Заслучненська,0.0,0.0,0.0,13183700.0,0.0,0.0,0.0,0.0,0.0,13183700.0,0.0
2255600000,Зіньківська,0.0,0.0,0.0,6141800.0,0.0,0.0,0.0,0.0,0.0,6141800.0,0.0
2255800000,Кам'янець-Подільська,0.0,0.0,0.0,200728800.0,0.0,0.0,0.0,0.0,0.0,200728800.0,0.0
2250900000,Китайгородська,0.0,0.0,0.0,7551100.0,0.0,0.0,0.0,0.0,0.0,7551100.0,0.0
