Айді громади,Назва громади,[41010100] Реверсна дотація,[41020100] Базова дотація,[41020200] На здійснення переданих з державного бюджету видатків з утримання закладів освіти та охорони здоров'я,"[41020300] На функціонування територій, на яких ведуться бойові дії",[41020400] Додаткові дотації з державного бюджету місцевим бюджетам (загальна),[41020800] Бюджету Славутицької міської територіальної громади на утримання соціальної інфраструктури,[41021000] На компенсацію втрат доходів внаслідок пільг суб’єктам космічної діяльності,[41021200] Обласним бюджетам Донецької та Луганської областей на усунення наслідків ескалації,"[41021300] На компенсацію комунальним закладам, переданим на фінансування з місцевих бюджетів",[41021400] На здійснення повноважень органів самоврядування на деокупованих та інших територіях,Сума Базова,Сума Реверсна,Сума Додаткові
2252800000,Слобідсько-Кульчієвецька,0.0,8238900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8238900.0,0.0,0.0
2253500000,Смотрицька,0.0,2385500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2385500.0,0.0,0.0
2253200000,Солобковецька,0.0,2319400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2319400.0,0.0,0.0
2255200000,Старокостянтинівська,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,144769300.0,0.0,0.0,144769300.0
2256200000,Староостропільська,0.0,356000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,356000.0,0.0,0.0
2252100000,Старосинявська,0.0,8391400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8391400.0,0.0,0.0
2253700000,Староушицька,0.0,14810000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4165700.0,14810000.0,0.0,4165700.0
2252600000,Судилківська,0.0,20629200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20629200.0,0.0,0.0
2256300000,Теофіпольська,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2254300000,Улашанівська,0.0,8725400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,667700.0,8725400.0,0.0,667700.0
2256400000,Хмельницька,166190800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,166190800.0,0.0
2252300000,Чемеровецька,0.0,14202500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14202500.0,0.0,0.0
2252200000,Чорноострівська,0.0,20668100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20668100.0,0.0,0.0
2256500000,Шепетівська,5559700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5559700.0,0.0
2256600000,Щиборівська,0.0,2422200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2422200.0,0.0,0.0
2254400000,Ямпільська,0.0,6003500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6003500.0,0.0,0.0
2256700000,Ярмолинецька,0.0,6458900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6458900.0,0.0,0.0
1152900000,Аджамська,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14154100.0,0.0,0.0,14154100.0
1153000000,Благовіщенська,0.0,16059900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16059900.0,0.0,0.0
1150100000,Бобринецька,0.0,6363300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6363300.0,0.0,0.0
1150400000,Великоандрусівська,0.0,10444300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10444300.0,0.0,0.0
1150700000,Великосеверинівська,0.0,1359900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1359900.0,0.0,0.0
1153200000,Гайворонська,0.0,29311700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29311700.0,0.0,0.0
1150600000,Ганнівська,316000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,316000.0,0.0
1152300000,Глодоська,0.0,908100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,639300.0,908100.0,0.0,639300.0
1153300000,Голованівська,3169700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3169700.0,0.0
1152400000,Гурівська,0.0,1255700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1255700.0,0.0,0.0
1151400000,Дмитрівська,0.0,2687800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2687800.0,0.0,0.0
1151700000,Добровеличківська,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2303200.0,0.0,0.0,2303200.0
1153400000,Долинська,0.0,9627100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2627800.0,9627100.0,0.0,2627800.0
1153500000,Заваллівська,0.0,17097100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17097100.0,0.0,0.0
1152500000,Злинська,0.0,4327600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1905400.0,4327600.0,0.0,1905400.0
1153600000,Знам'янська,40373900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40373900.0,0.0
1153900000,Кам'янецька,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160800.0,0.0,0.0,160800.0
1150900000,Катеринівська,0.0,1313300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,540500.0,1313300.0,0.0,540500.0
1153700000,Кетрисанівська,0.0,9023500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6928800.0,9023500.0,0.0,6928800.0
1151100000,Компаніївська,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3915000.0,0.0,0.0,3915000.0
1152810000,Кропивницька,152422600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,152422600.0,0.0
1150200000,Маловисківська,0.0,7632600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7632600.0,0.0,0.0
