Код громади,Назва громади,Вид кластеризації,Рік,Кластер,Відстань до центроїда
2450400000,Глибоцька,Пул (Математичний),2022,0,1.223009213742881
2454300000,Горішньошеровецька,Пул (KMeans),2022,2,0.44348870717952726
2454300000,Горішньошеровецька,Пул (Математичний),2022,0,1.2300327214288058
2452800000,Заставнівська,Пул (KMeans),2022,2,0.3792586958530242
2452800000,Заставнівська,Пул (Математичний),2022,0,1.2152957541710492
2453700000,Кадубовецька,Пул (KMeans),2022,2,0.4392854197151518
2453700000,Кадубовецька,Пул (Математичний),2022,0,1.2201139486531547
2454400000,Кам'янецька,Пул (KMeans),2022,2,0.47535495575813846
2454400000,Кам'янецька,Пул (Математичний),2022,0,1.2237074951920464
2454500000,Кам'янська,Пул (KMeans),2022,2,0.5000864033399969
2454500000,Кам'янська,Пул (Математичний),2022,0,1.2305645464112698
2453500000,Карапчівська,Пул (KMeans),2022,2,0.47945654863780857
2453500000,Карапчівська,Пул (Математичний),2022,0,1.2531237110958948
2454600000,Кельменецька,Пул (KMeans),2022,2,0.6454988951566326
2454600000,Кельменецька,Пул (Математичний),2022,0,1.2746849458389549
2450500000,Клішковецька,Пул (KMeans),2022,2,0.5353360277055222
2450500000,Клішковецька,Пул (Математичний),2022,0,1.2369322122980848
2451700000,Конятинська,Пул (KMeans),2022,2,0.3798842803132104
2451700000,Конятинська,Пул (Математичний),2022,0,1.2119765889872398
2452500000,Кострижівська,Пул (KMeans),2022,2,0.5570455789867663
2452500000,Кострижівська,Пул (Математичний),2022,0,1.293304722772166
2451400000,Красноїльська,Пул (KMeans),2022,2,0.48939294061784927
2451400000,Красноїльська,Пул (Математичний),2022,0,1.2276667006072925
2452100000,Кіцманська,Пул (KMeans),2022,2,0.4782566233515619
2452100000,Кіцманська,Пул (Математичний),2022,0,1.2250400738951552
2454700000,Лівинецька,Пул (KMeans),2022,2,0.47619565865190266
2454700000,Лівинецька,Пул (Математичний),2022,0,1.2421848720153728
2452200000,Магальська,Пул (KMeans),2022,2,0.44225365404819383
2452200000,Магальська,Пул (Математичний),2022,0,1.2195439977704732
2450600000,Мамалигівська,Пул (KMeans),2022,2,0.4745492335507144
2450600000,Мамалигівська,Пул (Математичний),2022,0,1.2279363742865024
2452000000,Мамаївська,Пул (KMeans),2022,2,0.5645268064780622
2452000000,Мамаївська,Пул (Математичний),2022,0,1.245645633701069
2450700000,Недобоївська,Пул (KMeans),2022,2,0.4940315666689416
2450700000,Недобоївська,Пул (Математичний),2022,0,1.2295866470200996
2452900000,Неполоковецька,Пул (KMeans),2022,2,0.4292562460290472
2452900000,Неполоковецька,Пул (Математичний),2022,0,1.2276287349236459
2453300000,Новодністровська,Пул (KMeans),2022,2,1.8025219098997556
2453300000,Новодністровська,Пул (Математичний),2022,0,2.352745887207502
2452600000,Новоселицька,Пул (KMeans),2022,2,0.611531212182029
2452600000,Новоселицька,Пул (Математичний),2022,0,1.264424650124772
2451900000,Острицька,Пул (KMeans),2022,2,0.511875394210008
2451900000,Острицька,Пул (Математичний),2022,0,1.231239499496599
2454800000,Петровецька,Пул (KMeans),2022,2,0.4612011568876878
2454800000,Петровецька,Пул (Математичний),2022,0,1.2234500627768143
2454900000,Путильська,Пул (KMeans),2022,2,0.38981903701296766
2454900000,Путильська,Пул (Математичний),2022,0,1.2110412357650757
2450800000,Рукшинська,Пул (KMeans),2022,2,0.46851957741722877
2450800000,Рукшинська,Пул (Математичний),2022,0,1.23548404891123
2451800000,Селятинська,Пул (KMeans),2022,2,0.3219609476241625
2451800000,Селятинська,Пул (Математичний),2022,0,1.2053651784352917
2450900000,Сокирянська,Пул (KMeans),2022,2,0.6739679771239542
2450900000,Сокирянська,Пул (Математичний),2022,0,1.2891703995417436
2453000000,Ставчанська,Пул (KMeans),2022,2,0.4617478207575933
2453000000,Ставчанська,Пул (Математичний),2022,0,1.2364665289225607
2451300000,Сторожинецька,Пул (KMeans),2022,2,0.7807429232490516
2451300000,Сторожинецька,Пул (Математичний),2022,0,1.336918873806043
2453600000,Сучевенська,Пул (KMeans),2022,2,0.45946610203419735
2453600000,Сучевенська,Пул (Математичний),2022,0,1.2253786705921572
2455000000,Тарашанська,Пул (KMeans),2022,2,0.44621312936646323
2455000000,Тарашанська,Пул (Математичний),2022,0,1.221477438630009
2451500000,Тереблеченська,Пул (KMeans),2022,2,0.43341637808398026
2451500000,Тереблеченська,Пул (Математичний),2022,0,1.23066025302547
2455100000,Топорівська,Пул (KMeans),2022,2,0.5058095564881735
2455100000,Топорівська,Пул (Математичний),2022,0,1.2309343399499324
2451000000,Усть-Путильська,Пул (KMeans),2022,2,0.3913635350490106
2451000000,Усть-Путильська,Пул (Математичний),2022,0,1.21380773060912
